prop_desc,prop_size(lower),prop_price,post_code,out_code,type
"Garage / Bodyshop For Sale, 48c High Street, Edgware, HA8 7EQ","1,980 ",650000, HA8 7EQ,HA8,Garage / Bodyshop For Sale
"Weyford House, 21-22 Woodbridge Meadows, Guildford, GU1 1BA","8,083 ",750000, GU1 1BA,GU1,Weyford House
"Retail Development Opportunity, Hendon Waterside, West Hendon Broadway, West Hendon, NW9 7FA",710," 2,034 ", NW9 7FA,NW9,Retail Development Opportunity
"Horseshoe Business Park, Upper Lye Lane, Park Street, AL2 3TA","10,572 ",3100000, AL2 3TA,AL2,Horseshoe Business Park
"Business Premises With Residential Above, 351 King Street, Hammersmith, W6 9NH","1,133 ",450000, W6 9NH,W6,Business Premises With Residential Above
"Unit 4 Campbell Court, Campbell Road, Bramley, RG26 5EG","2,067 ",225000, RG26 5EG,RG26,Unit 4 Campbell Court
"Open Plan Office Suites Over 3 Floors, Leapale House, Leapale Lane, Guildford, GU1 4LY","2,008 ",800000, GU1 4LY,GU1,Open Plan Office Suites Over 3 Floors
"Restaurant with Residential Above, 195 Castelnau, Barnes, SW13 9ER","2,182 ",1400000, SW13 9ER,SW13,Restaurant with Residential Above
"379 Upper Richmond Road, London, SW15 5QJ","2,352 ",850000, SW15 5QJ,SW15,379 Upper Richmond Road
"61 High Street, Odiham, RG29 1LF","2,552 ",560000, RG29 1LF,RG29,61 High Street
"Modern Air Conditioned Office Building, Unit 4, Delta Court, Manor Way, Borehamwood, WD6 1FJ","2,250 ",849000, WD6 1FJ,WD6,Modern Air Conditioned Office Building
"No 1 Elstree Way, Borehamwood, Borehamwood, WD6 1RN","58,000 ",12000000, WD6 1RN,WD6,No 1 Elstree Way
"Retail Premises With 1st Floor Office, 253-255 Putney Bridge Road, Wandsworth, SW15 2PU","1,993 ",947000, SW15 2PU,SW15,Retail Premises With 1st Floor Office
"Lillie Road, Fulham SW6, SW6 1TL, Earl's Court, SW6 1TL","3,891 ",1999950, SW6 1TL,SW6,Lillie Road
"2 High Street, Great Bookham, KT23 4AF","2,416 ",675000, KT23 4AF,KT23,2 High Street
"Retail & Residential Investment, 225 Golders Green Road, Golders Green, NW11 9ES","1,745 ",2000000, NW11 9ES,NW11,Retail & Residential Investment
"Horizon East & Horizon West, Randalls Way, Leatherhead, KT22 7TW","9,890 ",3150000, KT22 7TW,KT22,Horizon East & Horizon West
"Studio/Office Premises for Sale, 26 Point Pleasant, Wandsworth, SW18 1GG","2,477 ",1245000, SW18 1GG,SW18,Studio/Office Premises for Sale
"Retail Investment, 5 Milliners House, Eastfields Avenue, Riverside Quarter, Wandsworth, SW18 1LP","1,316 ",880000, SW18 1LP,SW18,Retail Investment
"27 Kelso Place , Kensington, London, W8 5QG","5,530 ",5500000, W8 5QG,W8,27 Kelso Place 
"Two Commercial Premises With B1 Consent, 175 Wandsworth High Street, Wandsworth, SW18 4JB","1,136 ",495000, SW18 4JB,SW18,Two Commercial Premises With B1 Consent
"2 Bridge Street, Leatherhead, KT22 8BZ","2,228 ",900000, KT22 8BZ,KT22,2 Bridge Street
"256 Grand Drive, Lower Morden, SW20 9NE","1,105 ",250000, SW20 9NE,SW20,256 Grand Drive
"Office Unit - To Let/For Sale, 17 Hardwicks Square, Wandsworth, SW18 4AG","4,288 ",1400000, SW18 4AG,SW18,Office Unit - To Let/For Sale
"68-68A Ridgway Road, Farnham, GU9 8NS","2,566 ",515000, GU9 8NS,GU9,68-68A Ridgway Road
"Unit 1, 193 Garth Road, Morden, SM4 4LZ","5,573 ",675000, SM4 4LZ,SM4,Unit 1
"Unit 2, 193 Garth Road, Morden, SM4 4LZ","3,439 ",625000, SM4 4LZ,SM4,Unit 2
"Ground Floor Office Suite, Genoa House, Battersea Reach, Battersea, SW18 1FY","1,728 ",925000, SW18 1FY,SW18,Ground Floor Office Suite
"Alpha Place, Garth Road, Lower Morden, SM4 4TQ","26,174 ",3500000, SM4 4TQ,SM4,Alpha Place
"Office Building With Residential Potential, No 3 Printers Yard, 90a The Broadway, Wimbledon, SW19 1RD","1,691 ",875000, SW19 1RD,SW19,Office Building With Residential Potential
"Mixed Use A3/A4 Business Premises, 57-61 High Street, Epsom, KT17 1RX","2,539 ",900000, KT17 1RX,KT17,Mixed Use A3/A4 Business Premises
"Open Plan Office Suites Over Two Floors, Unit 3 Bacchus House, Calleva Park, Aldermaston, RG7 8EN",987," 1,975 ", RG7 8EN,RG7,Open Plan Office Suites Over Two Floors
"Self-Contained Office Building, 229 The Broadway, Wimbledon, SW19 1SD","1,397 ",725000, SW19 1SD,SW19,Self-Contained Office Building
"Detached Self-Contained Offices, The Old Barn, Eashing, Godalming, GU7 2QF","1,429 ",595000, GU7 2QF,GU7,Detached Self-Contained Offices
"Old Church and Rotunda, The Burys, Godalming, GU7 1FN","9,185 ",1850000, GU7 1FN,GU7,Old Church and Rotunda
"7 Church Street, Godalming, GU7 1EQ","1,763 ",395000, GU7 1EQ,GU7,7 Church Street
"23-25 Lombard Road, Wimbledon, SW19 3TZ","40,832 ",4500000, SW19 3TZ,SW19,23-25 Lombard Road
"Bar With Parking & Garden To The Rear, The Bull Inn, Alton Road, Bentley, GU10 5JH","2,729 ",395000, GU10 5JH,GU10,Bar With Parking & Garden To The Rear
"Residential Development Opportunity, 110 Ockford Road, Godalming, GU7 1RG","4,000 ",895000, GU7 1RG,GU7,Residential Development Opportunity
"54A St. Albans Road, Barnet, EN5 4LA","3,870 ",1100000, EN5 4LA,EN5,54A St. Albans Road
"Kings Court, Burrows Lane, Gomshall, GU5 9QE",988," 5,335 ", GU5 9QE,GU5,Kings Court
"Self-Contained Office Building, 5 Jaggard Way, Wandsworth Common, SW12 8SG","1,785 ",1000000, SW12 8SG,SW12,Self-Contained Office Building
"Self Contained Office Suites, Whetstone Square, 1060-1072 High Road, Whetstone, N20 0QP","1,532 ",1200000, N20 0QP,N20,Self Contained Office Suites
"New Ground Floor Offices, Liberty Square, 1230-1232 High Road, Whetstone, London, N20 0LH","4,580 ",1534000, N20 0LH,N20,New Ground Floor Offices
"Modern Offices For Sale, Liberty Square, 1230-1232 High Road, Whetstone, N20 0LH","9,504 ",3183840, N20 0LH,N20,Modern Offices For Sale
"56-58 Angel Hill, Sutton, SM1 3EW","1,650 ",425000, SM1 3EW,SM1,56-58 Angel Hill
"For Sale - Former Natwest Property in Didcot, Oxfo, 124 Broadway, Didcot, OX11 8AD","1,452 ",200000, OX11 8AD,OX11,For Sale - Former Natwest Property in Didcot
"Retail Premises, 203 Fir Tree Road, Epsom, KT17 3LB","2,958 ",425000, KT17 3LB,KT17,Retail Premises
"Retail with Residential Above, 203-203a Fir Tree Road, Epsom, KT17 3LB","2,958 ",775000, KT17 3LB,KT17,Retail with Residential Above
"Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB","1,632 ",625000, SW4 6HB,SW4,Ground & Lower Ground Office Suites
"Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU","1,695 ",3400000, SW1P 3BU,SW1P,Office / Residential Opportunity
"New Build Unit with A1/B1/D2 Consent, 223 Streatham Road, Mitcham, CR4 2AJ","2,939 ",950000, CR4 2AJ,CR4,New Build Unit with A1/B1/D2 Consent
"17 Station Road, Sutton, SM2 6BX","1,991 ",465000, SM2 6BX,SM2,17 Station Road
"Unit 16, 1-11 Willow Lane, Mitcham, CR4 4NA","15,403 ",1400000, CR4 4NA,CR4,Unit 16
"Rear of 33, Nork Way, Banstead, SM7 1PB","1,503 ",335000, SM7 1PB,SM7,Rear of 33
"Light Industrial Warehouse with Offices, Unit 17 Willow Lane Business Park, 1-11 Willow Lane, Mitcham, CR4 4NA","9,128 ",850000, CR4 4NA,CR4,Light Industrial Warehouse with Offices
"12 Goat Road, Mitcham, CR4 4HU","2,325 ",395000, CR4 4HU,CR4,12 Goat Road
"B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN","5,690 ",2250000, SE1 7JN,SE1,B1 Unit or May Suit A1
"25 Mitcham Lane, London, SW16 6LQ","7,342 ",1575000, SW16 6LQ,SW16,25 Mitcham Lane
"138-146, High Road, Streatham, SW16 1BJ","16,932 ",2700000, SW16 1BJ,SW16,138-146
"Mixed Use Commercial & Residential Conversion, 9-10 The Parade, Beynon Road, Carshalton, SM5 3RL","2,242 ",795000, SM5 3RL,SM5,Mixed Use Commercial & Residential Conversion
"Shop With Residential Planning Permission For Sale, 89 High Street, Banstead, SM7 2NL","1,167 ",425000, SM7 2NL,SM7,Shop With Residential Planning Permission For Sale
"Unit 20 & 21, Cranford Way, London, N8 9DG","9,055 ",1500000, N8 9DG,N8,Unit 20 & 21
"Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED","1,113 ",575000, SE1 0ED,SE1,Self Contained Office Over Ground & Lower Ground
"Wightman Road, Harringay N4, N4 1RU, Harringay, N4 1RU","3,000 ",7500000, N4 1RU,N4,Wightman Road
"Existing Office Block With Planning, Marston Court 98-106, Manor Road, Wallington, SM6 0DW","4,758 ",1000000, SM6 0DW,SM6,Existing Office Block With Planning
"3-4 Turnpike Parade, Green Lanes, Wood Green, N15 3LA","1,403 ",200000, N15 3LA,N15,3-4 Turnpike Parade
"11-13 The IO Centre Hearle Way, Hatfield, AL10 9EW","2,426 ",595000, AL10 9EW,AL10,11-13 The IO Centre Hearle Way
"6 The IO Centre Hatfield Business Park, Hatfield, AL10 9EW","12,703 ",1850000, AL10 9EW,AL10,6 The IO Centre Hatfield Business Park
"94-94a Stafford Road, Wallington, SM6 9AY","1,000 ",525000, SM6 9AY,SM6,94-94a Stafford Road
"308 Thornton Road, Croydon, CR0 3EU","1,511 ",475000, CR0 3EU,CR0,308 Thornton Road
"Natwest - Former For Sale in Hatfield, Hertfordshi, 35 Town Centre, Hatfield, AL10 0JU","2,887 ",480000, AL10 0JU,AL10,Natwest - Former For Sale in Hatfield
"Unit 2 Mariner Business Centre, 1 Kings Way, Croydon, CR0 4GE","4,504 ",995000, CR0 4GE,CR0,Unit 2 Mariner Business Centre
"7 Vineyard Chambers, Vineyard, Abingdon, OX14 3PX","2,015 ",395000, OX14 3PX,OX14,7 Vineyard Chambers
"Office And Workshop With Potential For Other Uses, 189A Livingstone Road, Thornton Heath, CR7 8JZ","1,375 ",475000, CR7 8JZ,CR7,Office And Workshop With Potential For Other Uses
"Retail Premises with Offices Above, 202- 204 High Street, Cranleigh, GU6 8RL","1,400 ",495000, GU6 8RL,GU6,Retail Premises with Offices Above
"Retail/ Residential Investment For Sale, 51 High Street, Thornton Heath, CR7 8RW","1,347 ",800000, CR7 8RW,CR7,Retail/ Residential Investment For Sale
"UNIT 1 FOSTER AVENUE, WOODSIDE PARK, Dunstable, LU5 5TA","14,448 ",2400000, LU5 5TA,LU5,UNIT 1 FOSTER AVENUE
"98 Ock Street, Abingdon, OX14 5DH","1,012 ",200000, OX14 5DH,OX14,98 Ock Street
"94 Ock Street, Abingdon, OX14 5DH","1,514 ",275000, OX14 5DH,OX14,94 Ock Street
"Sycamore House, 38-40 High Street, Cranleigh, GU6 8AT","6,032 ",1250000, GU6 8AT,GU6,Sycamore House
"Retail Investment, Dobbe House, Ewhurst Road, Cranleigh, GU6 7AA","1,080 ",400000, GU6 7AA,GU6,Retail Investment
"3-5 High Street, Croydon, CR0 1QB","5,288 ",1425000, CR0 1QB,CR0,3-5 High Street
"Retail Unit With Small Yard To The Rear, 91-93 Queen’s Road, Peckham, SE15 2EZ","2,152 ",770000, SE15 2EZ,SE15,Retail Unit With Small Yard To The Rear
"49 Wandle Road, Croydon, CR0 1DF","2,873 ",735000, CR0 1DF,CR0,49 Wandle Road
"41A Magdalen Road, Oxford, OX4 1RB","2,312 ",485000, OX4 1RB,OX4,41A Magdalen Road
"8 Normandy Street, Alton, GU34 1BX","1,352 ",285000, GU34 1BX,GU34,8 Normandy Street
"1 Parker Road, Croydon, CR0 1DU","1,503 ",500000, CR0 1DU,CR0,1 Parker Road
"Dunstable Road, Luton , Bedfordshire, LU1 1BW, Luton, LU1 1BW","1,000 ",750000, LU1 1BW,LU1,Dunstable Road
"Commercial Premises With 1st Floor Offices, Shaftesbury House, Shaftesbury Road, Edmonton, N18 1SQ","37,000 ",6000000, N18 1SQ,N18,Commercial Premises With 1st Floor Offices
"28 London Road, Enfield, EN2 6ED","1,333 ",475000, EN2 6ED,EN2,28 London Road
"4 West Burrowfield, Welwyn Garden City, AL7 4TW","3,320 ",499950, AL7 4TW,AL7,4 West Burrowfield
"8 & 8A Southbury Road, Enfield, EN1 1YT","2,024 ",725000, EN1 1YT,EN1,8 & 8A Southbury Road
"Unit 3 East Burrowfield, Welwyn Garden City, AL7 4TB","1,993 ",397500, AL7 4TB,AL7,Unit 3 East Burrowfield
"Industrial Premises With Excellent Road Connection, 360 Brighton Road, South Croydon, CR2 6AL","10,836 ",1250000, CR2 6AL,CR2,Industrial Premises With Excellent Road Connection
"359 Brighton Road, South Croydon, CR2 6ER","1,665 ",450000, CR2 6ER,CR2,359 Brighton Road
"Residential Development Opportunity, 165 & 167 Coombe Road, Croydon, CR0 5SQ","6,781 ",2550000, CR0 5SQ,CR0,Residential Development Opportunity
"F1 Saffron Tower Saffron Square, Wellesley Road, Croydon, CR0 2FT","1,846 ",750000, CR0 2FT,CR0,F1 Saffron Tower Saffron Square
"Black Swan Lane, Luton LU3, LU3 2LU, Leagrave, LU3 2LU","1,572 ",525000, LU3 2LU,LU3,Black Swan Lane
"D1 Use Building For Sale, 14A Stowage, Deptford, SE8 3ED","3,600 ",750000, SE8 3ED,SE8,D1 Use Building For Sale
"Unit 8 Peerglow Estate, Queensway, Enfield, EN3 4SB","2,680 ",465000, EN3 4SB,EN3,Unit 8 Peerglow Estate
"68 High Street , Ponders End, Enfield, EN3 4ER","1,441 ",200000, EN3 4ER,EN3,68 High Street 
"Workshop With Offices, Units 13 C & D, Queensway, Enfield, EN3 4SA","5,080 ",1000000, EN3 4SA,EN3,Workshop With Offices
"7 Swallowfields, Welwyn Garden City, AL7 1JA","15,019 ",3500000, AL7 1JA,AL7,7 Swallowfields
"Mixed Use Ground Floor Units For Sale, Hope Wharf, 37 Greenwich High Road, Greenwich, SE10 8LR","1,491 ",390000, SE10 8LR,SE10,Mixed Use Ground Floor Units For Sale
"Unit 1 & Unit 2 Wells Point, Wells Place, Redhill, RH1 3AS","20,883 ",275, RH1 3AS,RH1,Unit 1 & Unit 2 Wells Point
"Freehold Retail Property in Haslemere, Surrey , 24 High Street, Haslemere, GU27 2HD","3,071 ",875000, GU27 2HD,GU27,Freehold Retail Property in Haslemere
"Development Opportunity, 25 Kings Road, Haslemere, GU27 2QA","1,800 ",425000, GU27 2QA,GU27,Development Opportunity
"Retail Premises, 7 to 9 High Street, Haslemere, GU27 2HG","1,760 ",495000, GU27 2HG,GU27,Retail Premises
"Town Centre New Modern Office, Rear of 14 High Street, Haslemere, GU27 2JE","1,238 ",450000, GU27 2JE,GU27,Town Centre New Modern Office
"Long Leasehold Warehouse For Sale, Unit 4C Redburn Industrial Estate, Woodall Road, Enfield, EN3 4LE","2,407 ",355000, EN3 4LE,EN3,Long Leasehold Warehouse For Sale
wycombe,"Industrial / Warehouse and Offices, Unit B/C Cetec House, Lincoln Road, Cressex Business Park, High Wycombe, HP12 1RG"," 14,697 ",wycombe,,wycombe
wycombe,"New Industrial/Warehouse Development, Lincoln Road, High Wycombe, HP12 3RB"," 30,056 ",wycombe,,wycombe
wycombe,"New Warehouse / Industrial / Trade Counter Units, 40:40 Link, Mill End Road/Chapel Lane, High Wycombe, HP12 4BG"," 30,193 ",wycombe,,wycombe
wycombe,"Development of Warehouse/Industrial/Trade Units, 40:40 Link, Mill End Road/Chapel Lane, High Wycombe, HP12 4BG"," 30,193 ",wycombe,,wycombe
wycombe,"40:40 Link, Mill End Road, Chapel Lane, High Wycombe, HP12 4BG"," 30,193 ",wycombe,,wycombe
wycombe,"Eclipse, Globe Park, Parkway, Marlow, SL7 1YL"," 9,424 ",wycombe,,wycombe
wycombe,"Duo Globe Business Park, Fieldhouse Lane, Marlow, SL7 1HZ"," 46,325 ",wycombe,,wycombe
wycombe,"Modern Office Buildings, Buildings 1 - 4 The Courtyard Glory Park, Wycombe , Loudwater, HP10 0DG"," 12,183 ",wycombe,,wycombe
wycombe,"Maidenhead Branch, Units 1-4 The Courtyard, Glory Park, Loudwater, HP10 0DG"," 12,183 ",wycombe,,wycombe
wycombe,"Open Plan Office Suites With Disabled Lift, Units 5 & 6, The Courtyard Glory Park , Wycombe Lane, Loudwater, HP10 0DG"," 3,920 ",wycombe,,wycombe
wycombe,"Maidenhead Branch, Units 5 & 6, The Courtyard, Glory Park, Loudwater, HP10 0DG"," 3,920 ",wycombe,,wycombe
wycombe,"For Sale - 3 REFURBISHED INDUSTRIAL 15,715 - 32,14, Wye Business Park, High Wycombe, HP10 0PF"," 32,140 ",wycombe,,wycombe
wycombe,"Wye Business Park, Thomas Road, Wooburn Green, High Wycombe, HP10 0PF"," 32,140 ",wycombe,,wycombe
wycombe,"Industrial Units With B2/B8 Uses , Summerleys Business Centre, Summerleys Road, Princes Risborough, HP27 9EQ"," 13,543 ",wycombe,,wycombe
wycombe,"Unit C5 Regent Park, Summerleys Road, Princes Risborough, HP27 9LE"," 4,591 ",wycombe,,wycombe
wycombe,"Rear Warehouse & Yard Kingsmead Business Park, How, Thame, OX9 3FB"," 70,633 ",wycombe,,wycombe
wycombe,"Tavis House Business Centre, Thame Road, Haddenham, HP17 8LJ"," 76,100 ",wycombe,,wycombe
wycombe,"Phase 3, Aston41, College Road North, Aston Clinton, HP22 5EZ"," 54,639 ",wycombe,,wycombe
wycombe,"Symmetry Park, Aston Clinton, College Road North, Aston Clinton, HP22 5EZ"," 450,000 ",wycombe,,wycombe
wycombe,"Bracknell Branch, Meridian Business Park, Fishponds Road, Wokingham, RG41 2GZ"," 4,342 ",wycombe,,wycombe
wycombe,"New build units to let available from Q4 2018, Segro Park, Middlesex, UB3 4QR"," 97,600 ",wycombe,,wycombe
wycombe,"Site at r/o Grovebury Road Retail Park, Leighton Buzzard, LU7 4UX"," 20,000 ",wycombe,,wycombe
wycombe,"Units 1 & 2 Total Park, Station Road, Theale, RG7 4PN"," 45,209 ",wycombe,,wycombe
wycombe,"Office Suites In Attractive Landscaped Grounds, Units 8 & 9 Theale Lakes, Moulden Way, Theale, RG7 4GB"," 4,100 ",wycombe,,wycombe
wycombe,"Fully Refurbished Office Accommodation , Cherry Barns, Harwell, OX11 0EY"," 3,710 ",wycombe,,wycombe
wycombe,"Oakmere House, Barley Way, Ancells Business Park, Fleet, GU51 2UT"," 8,115 ",wycombe,,wycombe
wycombe,"Units 3 & 4 Byfleet Technical Centre, Canada Road, Byfleet, KT14 7JX"," 6,800 ",wycombe,,wycombe
wycombe,"The Hawker Building, Wellington Way, Weybridge, KT13 0NY"," 24,878 ",wycombe,,wycombe
wycombe,"Botanic House, 309-317 Chiswick High Road, London, W4 4HH"," 4,668 ",wycombe,,wycombe
wycombe,"11-13 The IO Centre Hearle Way, Hatfield, AL10 9EW"," 4,685 ",wycombe,,wycombe
wycombe,"Butterfield Business Park, Luton, LU2 8DD"," 100,000 ",wycombe,,wycombe
wycombe,"Design and Build at Butterfield Great Marlings, Luton, LU2 8DL"," 130,000 ",wycombe,,wycombe
wycombe,"Self Contained Office Suites, Whetstone Square, 1060-1072 High Road, Whetstone, N20 0QP"," 3,450 ",wycombe,,wycombe
wycombe,"Stratfield House, Station Road, Hook, RG27 9PQ"," 10,958 ",wycombe,,wycombe
wycombe,"BUILD TO SUIT INDUSTRIAL / WAREHOUSE UNITS - 100,0, Axis J9, Phase 3, Bicester, OX26 1RT"," 250,000 ",wycombe,,wycombe
wycombe,"Beacon Point, Church Crookham, Fleet, GU52 8DY"," 22,884 ",wycombe,,wycombe
wycombe,"Beacon Hill Road , Fleet, GU52 8DY"," 45,703 ",wycombe,,wycombe
wycombe,"Tangley Place Barn, Tangley Lane, Guildford, GU3 3JZ"," 10,760 ",wycombe,,wycombe
wycombe,"Two Commercial Premises With B1 Consent, 175 Wandsworth High Street, Wandsworth, SW18 4JB"," 2,732 ",wycombe,,wycombe
wycombe,"Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD"," 8,030 ",wycombe,,wycombe
wycombe,"Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU"," 4,645 ",wycombe,,wycombe
wycombe,"One Springfield Drive, Springfield Drive, Leatherhead, KT22 7NL"," 39,695 ",wycombe,,wycombe
wycombe,"Horizon East & Horizon West, Randalls Way, Leatherhead, KT22 7TW"," 20,711 ",wycombe,,wycombe
wycombe,"6 Arlington Court, Whittle Way, Stevenage, SG1 2FS"," 6,184 ",wycombe,,wycombe
"Unit 4 Campbell Court, Campbell Road, Bramley, RG26 5EG","2,067 ",225000, RG26 5EG,RG26,Unit 4 Campbell Court
"61 High Street, Odiham, RG29 1LF","2,552 ",560000, RG29 1LF,RG29,61 High Street
"Open Plan Office Suites Over Two Floors, Unit 3 Bacchus House, Calleva Park, Aldermaston, RG7 8EN",987," 1,975 ", RG7 8EN,RG7,Open Plan Office Suites Over Two Floors
"8 Normandy Street, Alton, GU34 1BX","1,352 ",285000, GU34 1BX,GU34,8 Normandy Street
"Office Suites In Attractive Landscaped Grounds, Units 8 & 9 Theale Lakes, Moulden Way, Theale, RG7 4GB","2,050 ",225, RG7 4GB,RG7,Office Suites In Attractive Landscaped Grounds
"Bar With Parking & Garden To The Rear, The Bull Inn, Alton Road, Bentley, GU10 5JH","2,729 ",395000, GU10 5JH,GU10,Bar With Parking & Garden To The Rear
"Unit 2 Total Park, Station Road, Theale, RG7 4PN","25,590 ",225, RG7 4PN,RG7,Unit 2 Total Park
"Units 1 & 2 Total Park, Station Road, Theale, RG7 4PN","19,618 ",225, RG7 4PN,RG7,Units 1 & 2 Total Park
"Unit 1 Total Park, Station Road, Theale, RG7 4AA","19,618 ",225, RG7 4AA,RG7,Unit 1 Total Park
"Business Unit Suitable For A Variety Of Uses, 7-8 Bennet Road, Reading, RG2 0QX","17,987 ",3200000, RG2 0QX,RG2,Business Unit Suitable For A Variety Of Uses
"Mixed Use Business Premises, 115 Reading Road, Finchampstead, GU46 7LR","5,666 ",750000, GU46 7LR,GU46,Mixed Use Business Premises
"HQ Style Business Premises With Car Parking, 448a, Basingstoke Road, Reading, RG2 0RX","26,692 ",4400000, RG2 0RX,RG2,HQ Style Business Premises With Car Parking
"Unit 1 Cutbush Court, Danehill, Reading, RG6 4UW",685," 2,100 ", RG6 4UW,RG6,Unit 1 Cutbush Court
"Confidentially Available with B2 Planning Use -, Reading, RG2 0JT","10,560 ",1200000, RG2 0JT,RG2,Confidentially Available with B2 Planning Use -
"PLOT 1, PINEWOOD, TINTAGEL ROAD, Finchampstead, RG40 3JJ","8,712 ",650000, RG40 3JJ,RG40,PLOT 1
"68-68A Ridgway Road, Farnham, GU9 8NS","2,566 ",515000, GU9 8NS,GU9,68-68A Ridgway Road
"3rd Floor Office With Entry Phone System, Third Floor, 118-128 London Street, Reading, RG1 4SJ","1,340 ",340000, RG1 4SJ,RG1,3rd Floor Office With Entry Phone System
"179a Oxford Road, Reading, RG1 7UZ","1,061 ",650000, RG1 7UZ,RG1,179a Oxford Road
"Former Travel Agents Suitable For A1 or A2 Use, 32 Union Street, Aldershot, GU11 1EW","2,849 ",425000, GU11 1EW,GU11,Former Travel Agents Suitable For A1 or A2 Use
"Lock up Shop for Sale, 83 High Street, Aldershot, GU11 1BY","1,813 ",300000, GU11 1BY,GU11,Lock up Shop for Sale
"1-3 Trafford Road, Reading, RG1 8JP","12,805 ",1000000, RG1 8JP,RG1,1-3 Trafford Road
"Shop With 1st Floor Living Accommodation , 42 Station Road, Wokingham, RG40 2AE","1,721 ",500000, RG40 2AE,RG40,Shop With 1st Floor Living Accommodation 
"Detached Self Contained Offices, Alpha House, 9-11 Alexandra Road, Farnborough, GU14 6BU","4,141 ",975000, GU14 6BU,GU14,Detached Self Contained Offices
"Retail Unit with Residential Above, 126 High Street, Camberley, GU15 2QN","1,448 ",350000, GU15 2QN,GU15,Retail Unit with Residential Above
"Industrial / Warehouse For Sale , 68 St. Johns Road, Reading, RG4 5AL","10,596 ",625000, RG4 5AL,RG4,Industrial / Warehouse For Sale 
"UNDER OFFER - For Sale - Retail Property in Winche, 67-68 High Street, Winchester, SO23 9DA","4,024 ",1000000, SO23 9DA,SO23,UNDER OFFER - For Sale - Retail Property in Winche
"Self Contained Offices with On Site Parking, 72 Station Road, Liss, GU33 7AD","1,595 ",265000, GU33 7AD,GU33,Self Contained Offices with On Site Parking
"Trademark House, Ramshill, Petersfield, GU31 4AT","20,532 ",2000000, GU31 4AT,GU31,Trademark House
"Unit 18 Smeaton Road, West Portway Industrial Estate, Andover, SP10 3LF","11,579 ",575000, SP10 3LF,SP10,Unit 18 Smeaton Road
"Detached Self-Contained Offices, The Old Barn, Eashing, Godalming, GU7 2QF","1,429 ",595000, GU7 2QF,GU7,Detached Self-Contained Offices
"Development Opportunity, 25 Kings Road, Haslemere, GU27 2QA","1,800 ",425000, GU27 2QA,GU27,Development Opportunity
"Retail Premises, 7 to 9 High Street, Haslemere, GU27 2HG","1,760 ",495000, GU27 2HG,GU27,Retail Premises
"Freehold Retail Property in Haslemere, Surrey , 24 High Street, Haslemere, GU27 2HD","3,071 ",875000, GU27 2HD,GU27,Freehold Retail Property in Haslemere
"Town Centre New Modern Office, Rear of 14 High Street, Haslemere, GU27 2JE","1,238 ",450000, GU27 2JE,GU27,Town Centre New Modern Office
"Residential Development Opportunity, 110 Ockford Road, Godalming, GU7 1RG","4,000 ",895000, GU7 1RG,GU7,Residential Development Opportunity
"Open Storage Land With Gated Entrance, Hereford Close, Guildford, GU2 9TA","2,000 ",60000, GU2 9TA,GU2,Open Storage Land With Gated Entrance
"7 Church Street, Godalming, GU7 1EQ","1,763 ",395000, GU7 1EQ,GU7,7 Church Street
"Old Church and Rotunda, The Burys, Godalming, GU7 1FN","9,185 ",1850000, GU7 1FN,GU7,Old Church and Rotunda
"Ground Floor Office With Flat Above, 5 The Parade, Burden Way, Guildford, GU2 9PB","1,378 ",395000, GU2 9PB,GU2,Ground Floor Office With Flat Above
"23-25 Woodbridge Hill, Guildford, GU2 9AA","1,661 ",700000, GU2 9AA,GU2,23-25 Woodbridge Hill
"Weyford House, 21-22 Woodbridge Meadows, Guildford, GU1 1BA","8,083 ",750000, GU1 1BA,GU1,Weyford House
"Open Plan Office Suites Over 3 Floors, Leapale House, Leapale Lane, Guildford, GU1 4LY","2,008 ",800000, GU1 4LY,GU1,Open Plan Office Suites Over 3 Floors
"Office 1 & 2 Building B East Horton Business P, Kn, Eastleigh, SO50 7DZ",991," 6,942 ", SO50 7DZ,SO50,Office 1 & 2 Building B East Horton Business P
"Office 1 Building B East Horton Business Park, Kno, Eastleigh, SO50 7DZ","1,313 ",965000, SO50 7DZ,SO50,Office 1 Building B East Horton Business Park
"Office 2 Building B East Horton Business Park, Kno, Eastleigh, SO50 7DZ",991," 2,989 ", SO50 7DZ,SO50,Office 2 Building B East Horton Business Park
"37 Chertsey Road, Woking, GU21 5AJ","2,000 ",1200000, GU21 5AJ,GU21,37 Chertsey Road
"Sleepy Hollow Business Park, Ampfield Hill, Romsey, SO51 9BD","1,353 ",338250, SO51 9BD,SO51,Sleepy Hollow Business Park
"Office 1 Sleepy Hollow, Ampfield Hill, Romsey, SO51 9BD","1,566 ",391500, SO51 9BD,SO51,Office 1 Sleepy Hollow
"Office 3 Sleepy Hollow, Ampfield Hill, Romsey, SO51 9BD","2,846 ",711500, SO51 9BD,SO51,Office 3 Sleepy Hollow
